Deutsch,Spanisch,Beispielsatz Deutsch,Beispielsatz Spanisch,Einheit,Position,Gruppe,Gruppenposition
Ich sitze hier.,Estoy sentado aquí.,,,41,80,,
Ich saß hier.,Estaba sentado aquí.,,,41,81,,
Hier sitze ich.,Aquí estoy sentado yo.,,,41,82,,
da / weil,ya que,,,41,83,,
Bitte / Antrag,la petición,,,41,84,,
Gedanke,el pensamiento,,,41,85,,
Problemlösungen,soluciones a problemas,,,41,86,,
Mir würde es gefallen.,A mí me gustaría.,,,41,87,,
Meiner Meinung nach,en mi opinión,,,41,88,,
"Ich finde, dass …",me parece que …,,,41,89,,
"Es ist wahr, dass …",es cierto que …,,,41,90,,
allerdings,no obstante,,,41,91,,
trotzdem,sin embargo,,,41,92,,
außerdem,además,,,41,93,,
"sogar, selbst, eingeschlossen",incluso,,,41,94,,
"Man muss auch daran denken, dass …",También hay que pensar que …,,,41,95,,
im Gegenteil,por el contrario,,,41,96,,
in jedem Fall,en cualquier caso,,,41,97,,
du solltest,deberías,,,41,98,,
du könntest,podrías,,,41,99,,
"man müsste, man sollte",habría que,,,41,100,,
"Wenn ich du wäre, würde ich mit ihm sprechen.","Yo que tú, hablaría con él.",,,41,101,,
Ich an deiner Stelle würde besser aufpassen.,Yo en tu lugar tendría más cuidado.,,,41,102,,
örtlich sich befinden; sich orientieren,ubicarse,,,42,1,,
gut gelegen,"bien ubicado, bien ubicada",,,42,2,,
Widerspruch,la contradicción,,,42,3,,
"im Voraus, vorab",de antemano,,,42,4,,
Videoanruf,la videollamada,,,42,5,,
unterirdisch,"subterráneo, subterránea",,,42,6,,
verzichten,prescindir de,,,42,7,,
unverzichtbar,imprescindible,,,42,8,,
sorgfältig,detenidamente,,,42,9,,
erstaunlich,"asombroso, asombrosa",,,42,10,,
sobald wie möglich,lo antes posible,,,42,11,,
Das hätte ich fast vergessen.,Casi lo olvido.,,,42,12,,
Ich möchte lieber stehen.,Prefiero estar de pie.,,,42,13,,
Ich stehe.,Estoy de pie,,,42,14,,
sich hinstellen,ponerse de pie,,,42,15,,
Respekt,el respeto,,,42,16,,
respektvoll,"respetuoso, respetuosa",,,42,17,,
respektlos,"irrespetuoso, irrespetuosa",,,42,18,,
Mir gefallen beide gleich.,Me gustan los dos por igual.,,,42,19,,
googeln,googlear,,,42,20,,
zurücksetzen,resetear,,,42,21,,
wiederbekommen,recuperar,,,42,22,recuperar,1
"sich erholen, gesund werden",recuperarse,,,42,23,recuperar,2
bewusst,consciente,,,42,24,consciente,1
unbewusst,ser inconsciente,,,42,25,consciente,2
bewusstlos,estar inconsciente,,,42,26,consciente,3
volljährig,mayor de edad,,,42,27,,
Volkshochschule,la universidad popular,,,42,28,,
städtisches Institut,el instituto municipal,,,42,29,,
Gesprächsrunde,la tertulia,,,42,30,,
sich ärgern,enojarse,,,42,31,,
süchtig machend,"adictivo, adictiva",,,42,32,,
die Sucht,la adicción,,,42,33,,
besessen sein / sich obsessiv beschäftigen,obsesionarse,,,42,34,,
besessen / obsessiv,"obsesivo, obsesiva",,,42,35,,
töten,matar,,,42,36,,
posten,postear,,,42,37,,
"Ball, Fußball",el balón,,,42,38,,
"Gott, Göttin","el dios, la diosa",,,42,39,,
gerade erst,recién,,,42,40,,
Pass auf dich auf.,Cuídate.,,,42,41,,
Geldbeutel,el monedero o la cartera,,,42,42,,
losfahren / starten,arrancar,,,42,43,,
"Verschütten, vergießen",derramar,,,42,44,,
"einfügen am PC, einkleben",pegar,,,42,45,,
